,1308950,,,,,,Reviews,
,,,,,,,,
,,Reviews by languages,,,,,Positive reviews summary,Negative reviews summary
,,,Total,Positive,Negative,Ratio,"The game is relaxing and enjoyable, perfect for those who love interior design and decorating.",The snapping and placement mechanics are frustrating and inaccurate.
,,Total,244,43,201,18%,The game has a lot of potential and is expected to improve with future updates.,The game has numerous bugs and crashes frequently.
,,english,69,13,56,19%,"There are some bugs and optimization issues, but they are manageable and expected in early access.","The game is not optimized well, leading to performance issues."
,,schinese,11,3,8,27%,The game offers a variety of customization options for furniture and room design.,There is a lack of customization options for furniture and room dimensions.
,,russian,41,11,30,27%,The story mode includes interesting puzzles and tasks that keep the gameplay fresh.,The controls and user interface are not intuitive or user-friendly.
,,koreana,0,0,0,100%,The sandbox mode allows for creative freedom and extensive customization.,The game feels incomplete and lacks content.
,,german,8,1,7,13%,The graphics and lighting are aesthetically pleasing and add to the overall experience.,The story mode and mini-games are not engaging or fun.
,,japanese,1,1,0,100%,The game is compared favorably to other interior design games like The Sims and House Flipper.,The game is not suitable for realistic room planning due to restrictive mechanics.
,,thai,0,0,0,100%,Players appreciate the ability to mod and the potential for future content through updates.,The graphics and visual design are not appealing to many players.
,,spanish,26,3,23,12%,"Some players have experienced issues with controls and UI, but overall find the game intuitive and fun.",The game has potential but needs significant updates and improvements.
,,brazilian,24,1,23,4%,,
,,latam,4,0,4,0%,,
,,polish,13,2,11,15%,,
,,french,7,1,6,14%,,
,,portuguese,1,0,1,0%,,
,,italian,0,0,0,100%,,
,,czech,4,0,4,0%,, 
,,finnish,0,0,0,100%,,
,,tchinese,1,0,1,0%,,
,,,,,,,,
,,,,,,,,english
Review ID,Language,Created,Up,Purchased,Score,Upvotes,Review text (Original),Review text (Specifed above)
203295759,brazilian,2025.08.01 06:41,❌,✅,0.5,0,JOGO MUITO RUIM NÃO COMPREM,VERY BAD GAME DON'T BUY
202796531,english,2025.07.24 20:09,❌,✅,0.5238095522,1,"This game is so fucking ass, i should get paid to play this bull shit. If you want to get past 500 velocity you must spin around whilst simultaneously jumping and moving forward and you still cannot fucking control the movement after then because the momentum is sending you wherever the fuck you were looking before you change directions. And if you stop for a God damned second you lost all of the momentum. Fix your $2 damn game. Actually fucking delete it no one should have to go through the fucking struggle all of the other people including me have gone through. I could make a better game while snorting galaxy gas in a crackhouse with no internet on roblox. Not only this shit, but you dumbasses are ignoring all of the other reviews about your fuckass game. Anyways, if you need playtesting hit me up.","This game is so fucking ass, i should get paid to play this bull shit. If you want to get past 500 velocity you must spin around whilst simultaneously jumping and moving forward and you still cannot fucking control the movement after then because the momentum is sending you wherever the fuck you were looking before you change directions. And if you stop for a God damned second you lost all of the momentum. Fix your $2 damn game. Actually fucking delete it no one should have to go through the fucking struggle all of the other people including me have gone through. I could make a better game while snorting galaxy gas in a crackhouse with no internet on roblox. Not only this shit, but you dumbasses are ignoring all of the other reviews about your fuckass game. Anyways, if you need playtesting hit me up."
200916875,schinese,2025.06.28 18:06,❌,✅,0.5,0,狗屎,Shit
200813439,brazilian,2025.06.27 10:18,❌,✅,0.5,0,"jogo horrivel, sem multiplayer, nao tem como correr com o personagem e mal feito

","Horrible game, no multiplayer, no way to run with the character, and poorly made.

"
200292253,russian,2025.06.21 14:16,❌,✅,0.5,0,"Bhop PRO: Прыжки или нервный срыв? *(6.5/10)*

Что бесит:

Физика персонажа — будто управляешь шариком ртути на разогретой сковородке

Первые 2 часа — сплошные падения, маты и желание удалить игру

Прыжки через щели — 90% провалов выглядят как явный баг, а не ""скилл ишью""

Что цепляет (если пережить адаптацию):
✔ Кайф от идеального прохождения сложного участка
✔ Удовольствие наблюдать, как другие игроки тоже страдают
✔ Неплохая реиграбельность для фанатов жанра

Особое ""спасибо"" разработчикам за:

Полное отсутствие внятного обучения

Гениальную систему, где 1 мм недолёта = смерть и начало главы

Ощущение, что игра тебя ненавидит лично

Итог: 3/10 — либо вы полюбите это через 10 часов мучений, либо возненавидите навсегда через 20 минут.

P.S. Совет: перед игрой выпить успокоительное, выключить микрофон и приготовить подушку для криков.","Bhop PRO: Jumping or a nervous breakdown? *(6.5/10)*

What's annoying:

Character physics - like controlling a ball of mercury on a hot frying pan

The first two hours - nothing but falls, swearing, and the desire to delete the game

Jumping over gaps - 90% of the times you fail feels like a clear bug, not a ""skill issue""

What's catchy (if you survive the adaptation period):
✔ The thrill of completing a difficult section perfectly
✔ The pleasure of watching other players suffer too
✔ Decent replayability for fans of the genre

A special ""thanks"" to the developers for:

The complete lack of a clear tutorial

The ingenious system where 1mm of missing the target = death and the start of a chapter

It feels like the game hates you personally

Overall: 3/10 - you'll either love it after 10 hours of torment, or hate it forever after 20 minutes.

P.S. Tip: Before the game, take a sedative, turn off the microphone, and prepare a screaming pillow."
200240098,polish,2025.06.20 19:49,❌,✅,0.5,0,zjebana dalej nie moge nawet na 3 sekundy robić bhop,I'm still fucked up and can't even do bhop for 3 seconds
199356695,turkish,2025.06.09 13:50,❌,✅,0.5238095522,1,oyun çok berbat mobil versyonu bile daha güzel,
198919715,german,2025.06.04 16:12,❌,✅,0.5,0,Was ein drecks spiel hab das als ich 11 war für 20 Euro oder so gekauft und jetzt fällt mir erst ein was ein scheiß spiel das ist so eine verschwendung,What a shitty game I bought it when I was 11 for 20 euros or so and now I realize what a shitty game it is such a waste
195030399,brazilian,2025.04.17 00:43,❌,✅,0.5,0,Ruim d ++,Bad d ++
